case_id,run,news_text,target,business_area,topic,sentiment,priority,risk_type,escalation,error
1,1,Apple announces the date of its annual shareholder meeting next month.,Apple Inc.,Corporate,Other,Neutral,Low,None,False,
1,2,Apple announces the date of its annual shareholder meeting next month.,Apple Inc.,Corporate,Other,Neutral,Low,None,False,
1,3,Apple announces the date of its annual shareholder meeting next month.,Apple Inc.,Corporate,Other,Neutral,Low,None,False,
2,1,Microsoft announces the acquisition of a cybersecurity company for $4 billion.,Microsoft,Corporate,M&A,Positive,Medium,None,False,
2,2,Microsoft announces the acquisition of a cybersecurity company for $4 billion.,Microsoft,Corporate,M&A,Positive,Medium,None,False,
2,3,Microsoft announces the acquisition of a cybersecurity company for $4 billion.,Microsoft,Corporate,M&A,Positive,Medium,None,False,
3,1,Tesla faces a major regulatory investigation that could result in significant financial penalties.,Tesla,Corporate,Regulatory,Negative,High,Regulatory,True,
3,2,Tesla faces a major regulatory investigation that could result in significant financial penalties.,Tesla,Corporate,Regulatory,Negative,High,Regulatory,True,
3,3,Tesla faces a major regulatory investigation that could result in significant financial penalties.,"Tesla, Inc.",Corporate,Regulatory,Negative,High,Regulatory,True,
4,1,A major bank is under investigation for alleged accounting fraud and could face substantial regulatory penalties.,Unnamed major bank under investigation,Corporate,Regulatory,Negative,High,Fraud,True,
4,2,A major bank is under investigation for alleged accounting fraud and could face substantial regulatory penalties.,Unnamed major bank,Corporate,Regulatory,Negative,High,Fraud,True,
4,3,A major bank is under investigation for alleged accounting fraud and could face substantial regulatory penalties.,Unnamed major bank (under investigation),Corporate,Regulatory,Negative,High,Fraud,True,
6,1,A technology company is facing a major lawsuit alleging breach of contract and substantial financial damages.,Unnamed technology company,Corporate,Legal,Negative,High,Legal,True,
6,2,A technology company is facing a major lawsuit alleging breach of contract and substantial financial damages.,Unnamed technology company,Corporate,Legal,Negative,High,Legal,True,
6,3,A technology company is facing a major lawsuit alleging breach of contract and substantial financial damages.,Unnamed technology company,Corporate,Legal,Negative,High,Legal,True,
8,1,A manufacturer temporarily shuts down a major production facility following a serious equipment failure.,The manufacturer (unnamed),Corporate,Risks,Negative,Medium,Operational Risk,False,
8,2,A manufacturer temporarily shuts down a major production facility following a serious equipment failure.,Unnamed manufacturer (operator of the affected major production facility),Corporate,Risks,Negative,High,Operational Risk,True,
8,3,A manufacturer temporarily shuts down a major production facility following a serious equipment failure.,Unnamed manufacturer (major production facility),Corporate,Risks,Negative,Medium,Operational Risk,False,
9,1,A company warns that severe liquidity problems could affect its ability to meet upcoming financial obligations.,The company that issued the warning,Corporate,Risks,Negative,High,Financial Risk,True,
9,2,A company warns that severe liquidity problems could affect its ability to meet upcoming financial obligations.,Unnamed company (issuer reporting liquidity warning),Corporate,Risks,Negative,High,Financial Risk,True,
9,3,A company warns that severe liquidity problems could affect its ability to meet upcoming financial obligations.,Unnamed company,Corporate,Risks,Negative,High,Financial Risk,True,
10,1,A financial institution is being investigated for serious failures in anti-money-laundering compliance controls.,the financial institution under investigation,Corporate,Regulatory,Negative,High,Regulatory,True,
10,2,A financial institution is being investigated for serious failures in anti-money-laundering compliance controls.,Undisclosed financial institution under AML investigation,Corporate,Regulatory,Negative,High,Compliance,True,
10,3,A financial institution is being investigated for serious failures in anti-money-laundering compliance controls.,Financial institution under investigation,Corporate,Regulatory,Negative,High,Compliance,True,
12,1,Shares of a company rise 2% during normal trading after positive market commentary.,Unnamed company,Stock,Price Action,Positive,Low,None,False,
12,2,Shares of a company rise 2% during normal trading after positive market commentary.,Unnamed company,Stock,Price Action,Positive,Low,None,False,
12,3,Shares of a company rise 2% during normal trading after positive market commentary.,Unspecified public company (shares rose 2%),Stock,Price Action,Positive,Low,None,False,
13,1,A company appoints a new chief financial officer effective next quarter.,Unnamed company,Corporate,Appointment,Neutral,Low,None,False,
13,2,A company appoints a new chief financial officer effective next quarter.,Unnamed company,Corporate,Appointment,Neutral,Low,None,False,
13,3,A company appoints a new chief financial officer effective next quarter.,Unspecified company,Corporate,Appointment,Neutral,Low,None,False,
