_id,sentence,target,aspect,Business_Area,Topic,score,Sentiment_Category,type,split
1,Royal Mail chairman Donald Brydon set to step down,Royal Mail,Corporate/Appointment,Corporate,Appointment,-0.374,Negative,headline,train
100,Slump in Weir leads FTSE down from record high,Weir,Market/Volatility/Volatility,Market,Volatility,-0.827,Negative,headline,train
1000,AstraZeneca wins FDA approval for key new lung cancer pill,AstraZeneca,Corporate/Regulatory,Corporate,Regulatory,0.549,Positive,headline,train
1002,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,Lloyds,Corporate/Strategy,Corporate,Strategy,-0.266,Negative,headline,train
1005,Standard Chartered Shifts Emerging-Markets Strategy After Losses,Standard Chartered,Corporate/Strategy,Corporate,Strategy,-0.461,Negative,headline,train
1012,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,AstraZeneca,Corporate/Appointment,Corporate,Appointment,0.393,Positive,headline,train
1016,Severn Trent share price rises as first half profit inches up as customer ...,Severn Trent,Stock/Price Action,Stock,Price Action,0.526,Positive,headline,train
1022,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,Glencore,Corporate/Legal,Corporate,Legal,0.037,Neutral,headline,train
1023,Lloyds to cut 945 jobs as part of three-year restructuring strategy,Lloyds,Corporate/Strategy/Reorganization,Corporate,Strategy,-0.532,Negative,headline,train
1024,AstraZeneca to Buy ZS Pharma for $2.7 Billion,ZS Pharma,Corporate/M&A/M&A,Corporate,M&A,0.593,Positive,headline,train
1025,"Ackman, in email, says supports Valeant CEO Pearson",Valeant,Corporate/Company Communication,Corporate,Company Communication,0.166,Neutral,headline,train
1029,AstraZeneca sells US drug rights to Perrigo for $380 mln,Perrigo,Corporate/M&A/M&A,Corporate,M&A,0.326,Positive,headline,train
1032,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",ZS Pharma,Corporate/M&A/M&A,Corporate,M&A,0.468,Positive,headline,train
1033,CORRECTED-Shire to buy Dyax for about $5.9 bln,Shire,Corporate/M&A/M&A,Corporate,M&A,0.402,Positive,headline,train
1037,Barclays poised to replace Sir Mike Rake as he heads for exit,Barclays,Corporate/Appointment,Corporate,Appointment,0.077,Neutral,headline,train
1038,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,ZS Pharma,Corporate/M&A/M&A,Corporate,M&A,0.52,Positive,headline,train
1039,AstraZeneca shares climb 3% as drug maker ups profits forecasts,AstraZeneca,"Stock/Price Action/Bullish', 'Corporate/Financial/Financial Results/Earnings",Stock,Price Action,0.64,Positive,headline,train
1040,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,SABMiller,Corporate/Sales/Sales,Corporate,Sales,0.551,Positive,headline,train
1044,easyJet expects resilient demand to withstand security fears,easyJet,Corporate/Risks,Corporate,Risks,0.165,Neutral,headline,train
1045,Compass Group says positive for year ahead,Compass Group,Stock/Price Action/Future Price/Direction,Stock,Price Action,0.634,Positive,headline,train
105,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,Bunzl,Corporate/Dividend Policy/Dividend/Dividend going up,Corporate,Dividend Policy,0.401,Positive,headline,train
1052,US dollar wipes out sales gains for SABMiller,SABMiller,Corporate/Sales/Sales,Corporate,Sales,-0.582,Negative,headline,train
1053,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",SABMiller,Corporate/Sales/Sales,Corporate,Sales,0.043,Neutral,headline,train
1057,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,SABMiller,Corporate/Sales/Sales,Corporate,Sales,0.429,Positive,headline,train
1061,Valeant CEO Pledges to Heed Critics After `Painful' Experience,Valeant,Corporate/Company Communication,Corporate,Company Communication,-0.381,Negative,headline,train
1063,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",Aviva,Corporate/Company Communication,Corporate,Company Communication,0.324,Positive,headline,train
1063,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",Direct Line Insurance Group PLC,Corporate/Company Communication,Corporate,Company Communication,0.345,Positive,headline,train
1065,StanChart and RBS struggle in Bank of England stress tests,RBS,Economy/Central Banks,Economy,Central Banks,-0.738,Negative,headline,train
1065,StanChart and RBS struggle in Bank of England stress tests,Standard Chartered,Corporate/Regulatory,Corporate,Regulatory,-0.39,Negative,headline,train
107,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,Lloyds,Corporate/Dividend Policy/Dividend,Corporate,Dividend Policy,0.522,Positive,headline,train
1073,Barclays sells benchmark indices unit to Bloomberg,Bloomberg,Corporate/Strategy/Divestment,Corporate,Strategy,0.281,Positive,headline,train
1077,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Morrisons,Stock/Price Action/Future Price,Stock,Price Action,-0.251,Negative,headline,train
1077,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Tesco,Stock/Price Action/Future Price,Stock,Price Action,-0.222,Negative,headline,train
1077,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Sainsbury,Corporate/Financial/Bankruptcy/Entering bankruptcy,Corporate,Financial,-0.259,Negative,headline,train
1079,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",Shell,Stock/Insider Activity/Insider Trading,Stock,Insider Activity,0.276,Positive,headline,train
1079,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",Statoil,Stock/Insider Activity/Insider Trading,Stock,Insider Activity,0.294,Positive,headline,train
1089,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,AstraZeneca,Corporate/M&A/Joint Venture,Corporate,M&A,0.372,Positive,headline,train
1095,Shell and BG Shareholders to Vote on Deal at End of January,Shell,Corporate/Sales/Deal,Corporate,Sales,0.0,Neutral,headline,train
1109,AstraZeneca chases Acerta to secure next cancer drug winner,AstraZeneca,Stock/Buyside/Stock Buyside,Stock,Buyside,0.519,Positive,headline,train
1112,CompaniesTesco off to a bad start over Xmas â€“ Kantar,Tesco,Stock/Price Action,Stock,Price Action,-0.604,Negative,headline,train
1117,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",Julius Baer,Stock/Buyside/Stock Buyside,Stock,Buyside,0.31,Positive,headline,train
1118,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,Dixons Carphone,Corporate/Dividend Policy/Dividend/Dividend going up,Corporate,Dividend Policy,0.766,Positive,headline,train
1120,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,Wilshire Bancorp,Corporate/M&A,Corporate,M&A,0.818,Positive,headline,train
1122,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,ITV,Stock/Price Action/Current Price/Stock Price,Stock,Price Action,0.611,Positive,headline,train
1122,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,Comcast,Stock/Price Action,Stock,Price Action,0.623,Positive,headline,train
1131,Glencore Studies Possible IPO for Agricultural Trading Business,Glencore,Stock/IPO,Stock,IPO,0.408,Positive,headline,train
1132,Can Christmas Save Sainsbury's plc And Tesco plc?,Tesco,Corporate/Rumors/Rumors,Corporate,Rumors,-0.175,Neutral,headline,train
1133,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,Takeda,Corporate/M&A/,Corporate,M&A,0.47,Positive,headline,train
1142,Bilfinger Industrial Services win Â£100m BP contract extension,BP,Corporate/Sales/Deal,Corporate,Sales,0.113,Neutral,headline,train
1143,"Standard Chartered, RBS Escape Capital Raising in Stress Test",RBS,Economy/Central Banks,Economy,Central Banks,0.335,Positive,headline,train
1143,"Standard Chartered, RBS Escape Capital Raising in Stress Test",Standard Chartered,Corporate/Regulatory,Corporate,Regulatory,0.321,Positive,headline,train
1147,AstraZeneca weighing up Acerta bid to secure blood cancer drug,AstraZeneca,Stock/Buyside/Stock Buyside,Stock,Buyside,0.284,Positive,headline,train
115,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,Novartis,Corporate/M&A,Corporate,M&A,0.189,Neutral,headline,train
1154,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,Home Retail Group,Economy/Central Banks/Monetary Policy/Monetary Policy - SNB,Economy,Central Banks,0.492,Positive,headline,train
1155,L&G completes UK's largest medically underwritten bulk pension risk deal,L&G,Corporate/Risks,Corporate,Risks,0.25,Positive,headline,train
116,Meggitt share price tumbles as profit falls in 'challenging year',Meggitt,Stock/Price Action,Stock,Price Action,-0.854,Negative,headline,train
1160,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,Shire,Corporate/M&A/M&A,Corporate,M&A,0.437,Positive,headline,train
