_id,sentence,actual_target,actual_business_area,actual_sentiment,pred_target,pred_business_area,pred_topic,pred_sentiment,pred_priority,pred_risk_type,pred_summary,error,target_correct,business_area_correct,sentiment_correct
18154,"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX",TSLA,Corporate,Negative,"Tesla, Inc. (TSLA)",Corporate,Risks,Negative,Medium,Operational Risk,"Tesla is recalling approximately 2,700 Model X SUVs to fix a seat-belt issue.",,False,True,True
659,UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,Barclays,Corporate,Negative,Barclays,Corporate,Appointment,Negative,Medium,None,Barclays chairman McFarlane has removed the CEO to accelerate strategic change at the bank.,,True,True,True
18186,$FB  rejecting HIGHS shortable...at 109,FB,Stock,Negative,Facebook (ticker: FB),Stock,Price Action,Negative,Low,None,Market commentary indicates FB is rejecting recent highs and is being described as shortable around $109.,,False,True,True
747,"Tesco, Asda sales fall as march of the discounters continues-Kantar",Asda,Corporate,Negative,Tesco,Corporate,Sales,Negative,Medium,None,Kantar reported Tesco and Asda experienced falling sales as the march of the discounters continued.,,False,True,True
726,Buffett's Company Reports 37 Percent Drop in 2Q Earnings,Berkshire Hathaway Inc.,Corporate,Negative,Berkshire Hathaway,Corporate,Financial,Negative,Medium,Financial Risk,Berkshire Hathaway reported a 37% decline in second-quarter earnings.,,False,True,True
19167,Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,FB,Corporate,Negative,Meta Platforms (Facebook) - $FB,Corporate,Fundamentals,Negative,Medium,Operational Risk,A linked article questions whether Facebook's (Meta Platforms) user engagement is declining.,,False,True,True
18075,Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,MSFT,Corporate,Negative,Microsoft (MSFT),Corporate,Reputation,Negative,Low,None,"A social-media user complained that Windows 10 was forced onto their PC without consent, criticizing Microsoft for the unwanted upgrade.",,False,True,True
69,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,Tesco,Stock,Negative,Tesco,Corporate,Strategy,Negative,Medium,None,"Tesco's Blinkbox Books has been closed, ending the supermarket's digital books offering, and Tesco's share price dipped following the announcement.",,True,False,True
18504,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI",TSLA,Corporate,Negative,Tesla Motors (TSLA),Corporate,Risks,Negative,Medium,Operational Risk,"Tesla Motors is recalling 2,700 Model X SUVs.",,False,True,True
18932,@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,W,Stock,Negative,"Tesla, Inc. (TSLA)",Stock,Other,Neutral,Low,None,A user asked Scottrade why TSLA (and ticker W) are not available for shorting at this time.,,False,True,False
19007,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,TSLA,Corporate,Neutral,"Tesla, Inc. (TSLA)",Corporate,Regulatory,Negative,Medium,Regulatory,"A reported recall of Tesla's X is being described as minor, but there is concern it could provide management an excuse to significantly lower forward guidance.",,False,True,False
897,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,SAB Miller,Corporate,Neutral,SABMiller,Corporate,M&A,Neutral,Medium,None,SABMiller has rejected Anheuser-Busch InBev's $104 billion takeover approach.,,True,True,True
18096,$ENDP Was looking for a long entry but today's price action wasn't appealing,ENDP,Stock,Neutral,ENDP (Endo International plc),Stock,Price Action,Negative,Low,None,Trader considered a long entry in ENDP but chose not to enter because today's price action was unappealing.,,False,True,False
908,AB InBev offers SABMiller $3 billion breakup fee,SAB Miller,Corporate,Neutral,SABMiller,Corporate,M&A,Neutral,Medium,None,AB InBev has offered SABMiller a $3 billion breakup fee.,,True,True,True
815,Horizonte acquires neighbouring Glencore nickel property in Brazil,Horizonte,Corporate,Neutral,Horizonte,Corporate,M&A,Positive,Medium,None,Horizonte has acquired a neighbouring nickel property in Brazil from Glencore.,,True,True,False
820,UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,Morrissons,Corporate,Neutral,Smiths Group,Corporate,Appointment,Neutral,Medium,None,Engineering firm Smiths Group confirmed the appointment of a new CEO.,,False,True,True
939,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,SABMiller,Corporate,Neutral,Anheuser-Busch InBev (AB InBev),Corporate,M&A,Negative,Medium,None,AB InBev's latest takeover bid is reported unlikely to win approval from SABMiller.,,False,True,False
965,SAB's Chairman Digs In With Board Divided on InBev Offer,SABMiller,Corporate,Neutral,SABMiller (SAB),Corporate,M&A,Negative,Medium,None,SABMiller's chairman has dug in while the company's board is reported to be divided over an acquisition offer from InBev.,,False,True,False
872,TalkTalk hires BAE Systems to investigate cyber attack,TalkTalk,Corporate,Neutral,TalkTalk,Corporate,Risks,Negative,Medium,Operational Risk,TalkTalk has hired BAE Systems to investigate a cyber attack.,,True,True,False
67,Morrisons faces festive sales test,Morrisons,Corporate,Neutral,Wm Morrison Supermarkets (Morrisons),Corporate,Sales,Negative,Medium,Financial Risk,Morrisons is facing a test of its performance in festive-season sales.,,False,True,False
835,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,ARM Holdings,Corporate,Positive,ARM Holdings plc,Corporate,Strategy,Positive,Medium,None,ARM Holdings plc announced a partnership with International Business Machines Corp.; the provided headline does not include further details.,,False,True,True
18047,"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",TSLA,Stock,Positive,"Tesla, Inc. (TSLA)",Stock,Technical Analysis,Positive,Low,None,TSLA is showing bullish momentum on the 5-minute chart with potential hourly resistance at $259.33 and current resistance near $257.00.,,False,True,True
18077,$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,EXPE,Stock,Positive,Expedia Group (EXPE),Stock,Technical Analysis,Positive,Low,None,"Tweet states EXPE is breaking another downtrend and continuing higher, described as the second leg of a reversal run.",,False,True,True
18561,"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today",ENDP,Stock,Positive,Endo International plc (ENDP),Stock,Signal,Positive,Low,None,Market participants observed a large order in ENDP last week and noted accumulation of May and June $35 call options today.,,False,True,True
671,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,Gleneagles Hotel,Corporate,Positive,Diageo plc,Corporate,M&A,Neutral,Medium,None,"Diageo has sold the Gleneagles Hotel, the Ryder Cup venue, to hospitality operator Ennismore Group.",,False,True,False
963,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",CNPC,Corporate,Positive,BP,Corporate,Strategy,Positive,Medium,None,"BP and China National Petroleum Corporation (CNPC) are reportedly set to unveil an oil alliance, according to sources.",,False,True,True
18196,"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B.",CSX,Corporate,Positive,CSX,Corporate,Financial,Neutral,Low,None,"CSX is trading higher ahead of its earnings report; Wall Street consensus expects EPS of $0.37 and revenues of $2,732B.",,True,True,False
18747,$FB gone green on day,FB,Stock,Positive,FB (Facebook / Meta Platforms),Stock,Price Action,Positive,Low,None,$FB is trading higher (gone green) on the day.,,False,True,True
912,GSK joins China trade push as UK trumpets healthcare deals,GSK,Economy,Positive,GlaxoSmithKline (GSK),Corporate,Strategy,Positive,Medium,None,GlaxoSmithKline (GSK) is participating in a UK-led trade initiative with China as the UK government highlights healthcare deals.,,False,False,True
18145,#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo,CAFN,Corporate,Positive,Cachet Financial Solutions (CAFN),Stock,Price Action,Positive,Low,None,"Cachet Financial Solutions (CAFN) shares rose about 13.26% today following the company’s earnings release, according to the cited tweet.",,False,False,True
