case_id,news_text,expected_priority,pred_priority,expected_risk_type,pred_risk_type,expected_escalation,pred_escalation,priority_correct,risk_type_correct,escalation_correct,error
1,Apple announces the date of its annual shareholder meeting next month.,Low,Low,None,None,False,False,True,True,True,
2,Microsoft announces the acquisition of a cybersecurity company for $4 billion.,Medium,Medium,None,None,False,False,True,True,True,
3,Tesla faces a major regulatory investigation that could result in significant financial penalties.,High,High,Regulatory,Regulatory,True,True,True,True,True,
4,A major bank is under investigation for alleged accounting fraud and could face substantial regulatory penalties.,High,High,Fraud,Fraud,True,True,True,True,True,
5,A pharmaceutical company receives regulatory approval for a new drug after completing clinical review.,Medium,Medium,None,None,False,False,True,True,True,
6,A technology company is facing a major lawsuit alleging breach of contract and substantial financial damages.,High,High,Legal,Legal,True,True,True,True,True,
7,A retailer reports a small increase in quarterly sales compared with the previous year.,Medium,Low,None,None,False,False,False,True,True,
8,A manufacturer temporarily shuts down a major production facility following a serious equipment failure.,High,High,Operational Risk,Operational Risk,True,True,True,True,True,
9,A company warns that severe liquidity problems could affect its ability to meet upcoming financial obligations.,High,High,Financial Risk,Financial Risk,True,True,True,True,True,
10,A financial institution is being investigated for serious failures in anti-money-laundering compliance controls.,High,High,Compliance,Regulatory,True,True,True,False,True,
11,An analyst raises the price target for a technology stock following stronger-than-expected earnings.,Medium,Medium,None,None,False,False,True,True,True,
12,Shares of a company rise 2% during normal trading after positive market commentary.,Low,Low,None,None,False,False,True,True,True,
13,A company appoints a new chief financial officer effective next quarter.,Medium,Low,None,None,False,False,False,True,True,
14,A regulator opens an enforcement investigation into possible violations of financial-market rules.,High,High,Regulatory,Regulatory,True,True,True,True,True,
15,A cybersecurity incident disrupts a company's customer-facing systems and business operations.,High,High,Operational Risk,Operational Risk,True,True,True,True,True,
