_id,sentence,actual_target,actual_business_area,actual_sentiment,pred_target,pred_business_area,pred_topic,pred_sentiment,pred_priority,pred_summary,error,target_correct,business_area_correct,sentiment_correct
18154,"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX",TSLA,Corporate,Negative,TSLA,Corporate,Regulatory,Negative,Medium,"Tesla to recall 2,700 Model X SUVs to fix a seat-belt issue.",,True,True,True
659,UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,Barclays,Corporate,Negative,Barclays,Corporate,Appointment,Negative,High,"Barclays chairman McFarlane has removed the CEO to accelerate strategic change, signaling a major leadership shake-up.",,True,True,True
18186,$FB  rejecting HIGHS shortable...at 109,FB,Stock,Negative,FB,Stock,Price Action,Negative,Low,FB is rejecting recent highs and is being described as shortable around $109.,,True,True,True
747,"Tesco, Asda sales fall as march of the discounters continues-Kantar",Asda,Corporate,Negative,"Tesco, Asda",Corporate,Sales,Negative,Medium,Kantar reports that sales at Tesco and Asda fell as discount retailers continued to gain market share.,,False,True,True
726,Buffett's Company Reports 37 Percent Drop in 2Q Earnings,Berkshire Hathaway Inc.,Corporate,Negative,Buffett's Company,Corporate,Financial,Negative,High,Buffett's Company reported a 37% drop in second-quarter earnings.,,False,True,True
19167,Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,FB,Corporate,Negative,FB,Corporate,Signal,Negative,Medium,"User asks whether Facebook (FB) is seeing declining user engagement, linking to articles that suggest concerns about a drop in user activity/metrics.",,True,True,True
18075,Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,MSFT,Corporate,Negative,MSFT,Corporate,Reputation,Negative,Low,User complains that Windows 10 forced an upgrade on their PC without consent and expresses dissatisfaction with Microsoft.,,True,True,True
69,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,Tesco,Stock,Negative,Tesco,Stock,Price Action,Negative,Medium,"Tesco's share price fell after the company closed its Blinkbox Books digital service, ending the supermarket's digital books offering.",,True,True,True
18504,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI",TSLA,Corporate,Negative,TSLA,Corporate,Regulatory,Negative,Medium,"Tesla (TSLA) is recalling about 2,700 Model X SUVs.",,True,True,True
18932,@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,W,Stock,Negative,"TSLA, W",Stock,Market,Negative,Low,Customer asks why TSLA and W are not available to short at this time.,,False,True,True
19007,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,TSLA,Corporate,Neutral,tsla,Corporate,Risks,Negative,High,"Says Tesla's X recall itself isn't significant, but worries management may use it as an excuse to cut guidance substantially.",,True,True,False
897,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,SAB Miller,Corporate,Neutral,SABMiller,Corporate,M&A,Negative,High,SABMiller has rejected a $104 billion takeover approach from AB InBev.,,True,True,False
18096,$ENDP Was looking for a long entry but today's price action wasn't appealing,ENDP,Stock,Neutral,ENDP,Stock,Price Action,Negative,Low,The trader planned a long entry in ENDP but declined to enter because today's price action was not appealing.,,True,True,False
908,AB InBev offers SABMiller $3 billion breakup fee,SAB Miller,Corporate,Neutral,"AB InBev, SABMiller",Corporate,M&A,Neutral,Medium,AB InBev has offered SABMiller a $3 billion breakup fee as part of takeover discussions.,,False,True,True
815,Horizonte acquires neighbouring Glencore nickel property in Brazil,Horizonte,Corporate,Neutral,Horizonte,Corporate,M&A,Positive,Medium,Horizonte has acquired a neighboring Glencore-owned nickel property in Brazil.,,True,True,False
820,UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,Morrissons,Corporate,Neutral,Smiths Group,Corporate,Appointment,Neutral,Medium,Engineering firm Smiths Group confirmed a CEO appointment.,,False,True,True
939,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,SABMiller,Corporate,Neutral,"AB InBev, SABMiller",Corporate,M&A,Negative,High,Reports indicate AB InBev's latest takeover bid is unlikely to secure approval from SABMiller.,,False,True,False
965,SAB's Chairman Digs In With Board Divided on InBev Offer,SABMiller,Corporate,Neutral,SAB,Corporate,M&A,Negative,High,"SAB's chairman is digging in while the board is divided over InBev's takeover offer, signaling a contested and potentially risky M&A situation.",,False,True,False
872,TalkTalk hires BAE Systems to investigate cyber attack,TalkTalk,Corporate,Neutral,TalkTalk,Corporate,Risks,Negative,High,"TalkTalk has engaged BAE Systems to investigate a cyber attack, signaling a security breach and potential material risks to the company.",,True,True,False
67,Morrisons faces festive sales test,Morrisons,Corporate,Neutral,Morrisons,Corporate,Sales,Negative,Medium,"Morrisons faces a test of its sales performance over the festive period, indicating potential pressure on revenue and competitive positioning.",,True,True,False
835,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,ARM Holdings,Corporate,Positive,ARM Holdings plc,Corporate,Strategy,Positive,Medium,"ARM Holdings plc has entered a partnership with International Business Machines Corp. to drive joint strategic initiatives, signalling cooperative efforts expected to support ARM's business strategy and market position.",,False,True,True
18047,"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",TSLA,Stock,Positive,TSLA,Stock,Technical Analysis,Positive,Low,Short-term bullish momentum on TSLA (lots of green on the 5-minute chart); watch hourly resistance near $259.33 and current resistance around $257.00.,,True,True,True
18077,$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,EXPE,Stock,Positive,EXPE,Stock,Technical Analysis,Positive,Low,"EXPE appears to be in the second leg of a reversal, having broken another downtrend and continuing higher.",,True,True,True
18561,"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today",ENDP,Stock,Positive,ENDP,Stock,Signal,Positive,Medium,"A large order in ENDP was seen last week, and traders are accumulating May and June 35-strike call options today, indicating bullish positioning.",,True,True,True
671,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,Gleneagles Hotel,Corporate,Positive,Diageo,Corporate,M&A,Neutral,Medium,"Diageo has sold the Gleneagles Hotel, a Ryder Cup venue, to the Ennismore Group in a corporate divestiture.",,False,True,False
963,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",CNPC,Corporate,Positive,"BP, China's CNPC",Corporate,Strategy,Positive,Medium,Sources say BP and China's CNPC will unveil a new oil alliance.,,False,True,True
18196,"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B.",CSX,Corporate,Positive,CSX,Corporate,Financial,Neutral,Medium,"CSX is trading up ahead of its report; Wall Street consensus expects EPS of $0.37 and revenues of $2,732B.",,True,True,False
18747,$FB gone green on day,FB,Stock,Positive,FB,Stock,Price Action,Positive,Low,FB is trading higher intraday — the stock has gone green on the day.,,True,True,True
912,GSK joins China trade push as UK trumpets healthcare deals,GSK,Economy,Positive,GSK,Corporate,Strategy,Positive,Medium,"GSK is participating in a UK-led trade push with China while the UK promotes healthcare deals, indicating strategic expansion/engagement in the Chinese market.",,True,False,True
18145,#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo,CAFN,Corporate,Positive,CAFN,Stock,Price Action,Positive,Medium,Cachet Financial Solutions (CAFN) shares surged about 13.3% today following earnings release.,,True,False,True
